LOAD_DATE,YEAR,DATASET,SUBJECT,VARIABLE_BASE,GEO_ID,VALUE_E,VALUE_PE,STATE,COUNTY,LABEL_CATEGORY,LABEL_VALUE,LABEL_CONCEPT
2021-08-24 05:39:20.969,2011,ACS1,DP05,DP05_0063,0500000US06065,16256,,California,Riverside County,RACE,Native Hawaiian and Other Pacific Islander,RACE
2021-08-24 05:39:22.858,2011,ACS1,DP05,DP05_0064,0500000US06065,380010,,California,Riverside County,RACE,Some other race,RACE
2021-08-24 05:39:10.656,2011,ACS1,DP05,DP05_0059,0500000US06065,1557684,,California,Riverside County,RACE,White,RACE
2021-08-24 05:39:15.350,2011,ACS1,DP05,DP05_0061,0500000US06067,38172,,California,Sacramento County,RACE,American Indian and Alaska Native,RACE
2021-08-24 05:39:18.440,2011,ACS1,DP05,DP05_0062,0500000US06067,245934,,California,Sacramento County,RACE,Asian,RACE
2021-08-24 05:39:13.623,2011,ACS1,DP05,DP05_0060,0500000US06067,179591,,California,Sacramento County,RACE,Black or African American,RACE
2021-08-24 05:39:20.969,2011,ACS1,DP05,DP05_0063,0500000US06067,25923,,California,Sacramento County,RACE,Native Hawaiian and Other Pacific Islander,RACE
2021-08-24 05:39:22.858,2011,ACS1,DP05,DP05_0064,0500000US06067,119136,,California,Sacramento County,RACE,Some other race,RACE
2021-08-24 05:39:10.656,2011,ACS1,DP05,DP05_0059,0500000US06067,930245,,California,Sacramento County,RACE,White,RACE
2021-08-24 05:39:15.350,2011,ACS1,DP05,DP05_0061,0500000US06071,39157,,California,San Bernardino County,RACE,American Indian and Alaska Native,RACE
2021-08-24 05:39:18.440,2011,ACS1,DP05,DP05_0062,0500000US06071,163454,,California,San Bernardino County,RACE,Asian,RACE
2021-08-24 05:39:13.623,2011,ACS1,DP05,DP05_0060,0500000US06071,205186,,California,San Bernardino County,RACE,Black or African American,RACE
2021-08-24 05:39:20.969,2011,ACS1,DP05,DP05_0063,0500000US06071,14341,,California,San Bernardino County,RACE,Native Hawaiian and Other Pacific Islander,RACE
2021-08-24 05:39:22.858,2011,ACS1,DP05,DP05_0064,0500000US06071,380860,,California,San Bernardino County,RACE,Some other race,RACE
2021-08-24 05:39:10.656,2011,ACS1,DP05,DP05_0059,0500000US06071,1366654,,California,San Bernardino County,RACE,White,RACE
2021-08-24 05:39:15.350,2011,ACS1,DP05,DP05_0061,0500000US06073,56435,,California,San Diego County,RACE,American Indian and Alaska Native,RACE
2021-08-24 05:39:18.440,2011,ACS1,DP05,DP05_0062,0500000US06073,413325,,California,San Diego County,RACE,Asian,RACE
2021-08-24 05:39:13.623,2011,ACS1,DP05,DP05_0060,0500000US06073,199893,,California,San Diego County,RACE,Black or African American,RACE
2021-08-24 05:39:20.969,2011,ACS1,DP05,DP05_0063,0500000US06073,29875,,California,San Diego County,RACE,Native Hawaiian and Other Pacific Islander,RACE
2021-08-24 05:39:22.858,2011,ACS1,DP05,DP05_0064,0500000US06073,241223,,California,San Diego County,RACE,Some other race,RACE
2021-08-24 05:39:10.656,2011,ACS1,DP05,DP05_0059,0500000US06073,2363869,,California,San Diego County,RACE,White,RACE
2021-08-24 05:39:15.350,2011,ACS1,DP05,DP05_0061,0500000US06075,8847,,California,San Francisco County,RACE,American Indian and Alaska Native,RACE
2021-08-24 05:39:18.440,2011,ACS1,DP05,DP05_0062,0500000US06075,290713,,California,San Francisco County,RACE,Asian,RACE
2021-08-24 05:39:13.623,2011,ACS1,DP05,DP05_0060,0500000US06075,56533,,California,San Francisco County,RACE,Black or African American,RACE
2021-08-24 05:39:20.969,2011,ACS1,DP05,DP05_0063,0500000US06075,7727,,California,San Francisco County,RACE,Native Hawaiian and Other Pacific Islander,RACE
2021-08-24 05:39:22.858,2011,ACS1,DP05,DP05_0064,0500000US06075,50638,,California,San Francisco County,RACE,Some other race,RACE
2021-08-24 05:39:10.656,2011,ACS1,DP05,DP05_0059,0500000US06075,434400,,California,San Francisco County,RACE,White,RACE
2021-08-24 05:39:15.350,2011,ACS1,DP05,DP05_0061,0500000US06077,15693,,California,San Joaquin County,RACE,American Indian and Alaska Native,RACE
2021-08-24 05:39:18.440,2011,ACS1,DP05,DP05_0062,0500000US06077,119546,,California,San Joaquin County,RACE,Asian,RACE
2021-08-24 05:39:13.623,2011,ACS1,DP05,DP05_0060,0500000US06077,61846,,California,San Joaquin County,RACE,Black or African American,RACE
2021-08-24 05:39:20.969,2011,ACS1,DP05,DP05_0063,0500000US06077,8355,,California,San Joaquin County,RACE,Native Hawaiian and Other Pacific Islander,RACE
2021-08-24 05:39:22.858,2011,ACS1,DP05,DP05_0064,0500000US06077,75110,,California,San Joaquin County,RACE,Some other race,RACE
2021-08-24 05:39:10.656,2011,ACS1,DP05,DP05_0059,0500000US06077,458883,,California,San Joaquin County,RACE,White,RACE
2021-08-24 05:39:15.350,2011,ACS1,DP05,DP05_0061,0500000US06079,5644,,California,San Luis Obispo County,RACE,American Indian and Alaska Native,RACE
2021-08-24 05:39:18.440,2011,ACS1,DP05,DP05_0062,0500000US06079,14018,,California,San Luis Obispo County,RACE,Asian,RACE
2021-08-24 05:39:13.623,2011,ACS1,DP05,DP05_0060,0500000US06079,8494,,California,San Luis Obispo County,RACE,Black or African American,RACE
2021-08-24 05:39:20.969,2011,ACS1,DP05,DP05_0063,0500000US06079,571,,California,San Luis Obispo County,RACE,Native Hawaiian and Other Pacific Islander,RACE
2021-08-24 05:39:22.858,2011,ACS1,DP05,DP05_0064,0500000US06079,17118,,California,San Luis Obispo County,RACE,Some other race,RACE
2021-08-24 05:39:10.656,2011,ACS1,DP05,DP05_0059,0500000US06079,236111,,California,San Luis Obispo County,RACE,White,RACE
2021-08-24 05:39:15.350,2011,ACS1,DP05,DP05_0061,0500000US06081,8453,,California,San Mateo County,RACE,American Indian and Alaska Native,RACE
2021-08-24 05:39:18.440,2011,ACS1,DP05,DP05_0062,0500000US06081,202792,,California,San Mateo County,RACE,Asian,RACE
2021-08-24 05:39:13.623,2011,ACS1,DP05,DP05_0060,0500000US06081,25477,,California,San Mateo County,RACE,Black or African American,RACE
2021-08-24 05:39:20.969,2011,ACS1,DP05,DP05_0063,0500000US06081,13208,,California,San Mateo County,RACE,Native Hawaiian and Other Pacific Islander,RACE
2021-08-24 05:39:22.858,2011,ACS1,DP05,DP05_0064,0500000US06081,57063,,California,San Mateo County,RACE,Some other race,RACE
2021-08-24 05:39:10.656,2011,ACS1,DP05,DP05_0059,0500000US06081,455556,,California,San Mateo County,RACE,White,RACE
2021-08-24 05:39:15.350,2011,ACS1,DP05,DP05_0061,0500000US06083,7794,,California,Santa Barbara County,RACE,American Indian and Alaska Native,RACE
2021-08-24 05:39:18.440,2011,ACS1,DP05,DP05_0062,0500000US06083,27306,,California,Santa Barbara County,RACE,Asian,RACE
2021-08-24 05:39:13.623,2011,ACS1,DP05,DP05_0060,0500000US06083,11784,,California,Santa Barbara County,RACE,Black or African American,RACE
2021-08-24 05:39:20.969,2011,ACS1,DP05,DP05_0063,0500000US06083,3692,,California,Santa Barbara County,RACE,Native Hawaiian and Other Pacific Islander,RACE
